,formatted_address,name,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,Street,commune,country,store_name,communes
0,"Allmendstrasse 5, 8914 Aeugst am Albis, Switzerland",Volg,4.4,47.0,47.26797270000001,8.4862223,Allmendstrasse 5, 8914 Aeugst am Albis, Switzerland,volg,aeugst am albis
1,"Obfelderstrasse 1, 8910 Affoltern am Albis, Switzerland",migrolino Affoltern am Albis,4.1,67.0,47.2746869,8.445784699999999,Obfelderstrasse 1, 8910 Affoltern am Albis, Switzerland,migro,affoltern am albis
2,"Büelstrasse 15, 8910 Affoltern am Albis, Switzerland",Coop Supermarkt Affoltern am Albis,4.1,1179.0,47.2738709,8.445676299999999,Büelstrasse 15, 8910 Affoltern am Albis, Switzerland,coop,affoltern am albis
3,"Centralweg 3, 8910 Affoltern am Albis, Switzerland",Lidl Schweiz,4.1,292.0,47.2780069,8.4530301,Centralweg 3, 8910 Affoltern am Albis, Switzerland,lidl,affoltern am albis
4,"Oberdorfstrasse 4, 8910 Affoltern am Albis, Switzerland",Migros Supermarkt,4.2,578.0,47.2777942,8.453773,Oberdorfstrasse 4, 8910 Affoltern am Albis, Switzerland,migro,affoltern am albis
5,"Industriestrasse 5, 8910 Affoltern am Albis, Switzerland",ALDI SUISSE,4.1,292.0,47.2727245,8.4470147,Industriestrasse 5, 8910 Affoltern am Albis, Switzerland,aldi,affoltern am albis
6,"Jonentalstrasse 1, 8910 Affoltern am Albis, Switzerland",Denner Discount,4.0,202.0,47.2771601,8.4548399,Jonentalstrasse 1, 8910 Affoltern am Albis, Switzerland,denner,affoltern am albis
7,"Zürichstrasse 51, 8910 Affoltern am Albis, Switzerland",Denner Discount,4.2,161.0,47.2761317,8.4502698,Zürichstrasse 51, 8910 Affoltern am Albis, Switzerland,denner,affoltern am albis
8,"Ottenbacherstrasse 81, 8909 Affoltern am Albis, Switzerland",Volg Zwillikon,4.3,58.0,47.28744409999999,8.4315571,Ottenbacherstrasse 81, 8909 Affoltern am Albis, Switzerland,volg,affoltern am albis
9,"Höflistrasse 7, 8135 Langnau am Albis, Switzerland",Coop Supermarkt Langnau am Albis,4.2,200.0,47.2892437,8.5397724,Höflistrasse 7, 8135 Langnau am Albis, Switzerland,coop,langnau am albis
10,"Im Wängli 6, 8910 Affoltern am Albis, Switzerland",Coop Pronto Affoltern am Albis,4.2,177.0,47.2840263,8.4534833,Im Wängli 6, 8910 Affoltern am Albis, Switzerland,coop,affoltern am albis
11,"Büelstrasse 15, 8910 Affoltern am Albis, Switzerland",Coop Kiosk,5.0,1.0,47.2739173,8.4458267,Büelstrasse 15, 8910 Affoltern am Albis, Switzerland,coop,affoltern am albis
12,"Albisstrasse 19, 8915 Hausen am Albis, Switzerland",Volg,4.4,167.0,47.2482652,8.530597300000002,Albisstrasse 19, 8915 Hausen am Albis, Switzerland,volg,hausen am albis
13,"Zugerstrasse 2, 6340 Hausen am Albis, Switzerland",migrolino Sihlbrugg,4.3,49.0,47.21689569999999,8.5762232,Zugerstrasse 2, 6340 Hausen am Albis, Switzerland,migro,hausen am albis
14,"Albisstrasse 8, 8926 Kappel am Albis, Switzerland",Denner Partner,4.5,177.0,47.2297737,8.5272385,Albisstrasse 8, 8926 Kappel am Albis, Switzerland,denner,kappel am albis
15,"Bahnhofstrasse 6/8, 8932 Mettmenstetten, Switzerland",SPAR Supermarkt Mettmenstetten,4.2,208.0,47.2437599,8.4616419,Bahnhofstrasse 6/8, 8932 Mettmenstetten, Switzerland,spar,mettmenstetten
16,"Albisstrasse 3, 8932 Mettmenstetten, Switzerland",Volg Mettmenstetten,4.3,115.0,47.24395149999999,8.463845,Albisstrasse 3, 8932 Mettmenstetten, Switzerland,volg,mettmenstetten
17,"Zwillikerstrasse 4, 8908 Hedingen, Switzerland",Volg & post office,4.0,86.0,47.2983714,8.4477121,Zwillikerstrasse 4, 8908 Hedingen, Switzerland,volg,hedingen
18,"Dorfstrasse 15, 8906 Bonstetten, Switzerland",SPAR Supermarkt Bonstetten,4.1,128.0,47.3149329,8.4696844,Dorfstrasse 15, 8906 Bonstetten, Switzerland,spar,bonstetten
19,"Im Heumoos 25, 8906 Bonstetten, Switzerland",Coop Supermarkt Bonstetten,4.2,321.0,47.3242618,8.4687602,Im Heumoos 25, 8906 Bonstetten, Switzerland,coop,bonstetten
20,"Schachenstrasse 115, 8906 Bonstetten, Switzerland",Migros Partner,4.4,124.0,47.3253193,8.4725152,Schachenstrasse 115, 8906 Bonstetten, Switzerland,migro,bonstetten
21,"Staldenstrasse 3, 8905 Arni, Switzerland",Volg,4.4,53.0,47.3188896,8.4198875,Staldenstrasse 3, 8905 Arni, Switzerland,volg,
22,"Zürcherstrasse 10, 8917 Oberlunkhofen, Switzerland",Volg Oberlunkhofen,4.1,98.0,47.3115659,8.39208,Zürcherstrasse 10, 8917 Oberlunkhofen, Switzerland,volg,oberlunkhofen
23,"Dorfpl. 1, 8911 Rifferswil, Switzerland",Volg Rifferswil,4.2,33.0,47.2426214,8.49602,Dorfpl. 1, 8911 Rifferswil, Switzerland,volg,rifferswil
24,"Stampfistrasse 1, 8934 Knonau, Switzerland",Volg,4.5,63.0,47.223383,8.4613105,Stampfistrasse 1, 8934 Knonau, Switzerland,volg,knonau
25,"Oberdorfstrasse 6A, 6340 Baar, Switzerland",Coop Supermarkt Baar Oberdorf,4.1,238.0,47.1956308,8.5300792,Oberdorfstrasse 6A, 6340 Baar, Switzerland,coop,dorf
26,"Hintere Grundstrasse 2, 8135 Langnau am Albis, Switzerland",Migros Supermarkt,4.2,132.0,47.2913381,8.5378331,Hintere Grundstrasse 2, 8135 Langnau am Albis, Switzerland,migro,langnau am albis
27,"Bühlstrasse 1, 8933 Maschwanden, Switzerland",Volg Maschwanden,4.5,23.0,47.2345784,8.427523599999999,Bühlstrasse 1, 8933 Maschwanden, Switzerland,volg,maschwanden
28,"Dorfstrasse 48, 8912 Obfelden, Switzerland",Volg Obfelden,0.0,0.0,47.26387769999999,8.4287414,Dorfstrasse 48, 8912 Obfelden, Switzerland,volg,obfelden
29,"Ottenbacherstrasse 23, 8912 Obfelden, Switzerland",Coop Supermarkt Obfelden,3.9,222.0,47.266924,8.4242246,Ottenbacherstrasse 23, 8912 Obfelden, Switzerland,coop,obfelden
30,"Bahnhofstrasse 7, 6312 Steinhausen, Switzerland",Coop Supermarkt Steinhausen,4.4,310.0,47.19640330000001,8.4826207,Bahnhofstrasse 7, 6312 Steinhausen, Switzerland,coop,steinhausen
31,"Luzernerstrasse 101, 6333 Hünenberg, Switzerland",SPAR Grocery Store Hünenberg,4.4,93.0,47.1734835,8.449134599999999,Luzernerstrasse 101, 6333 Hünenberg, Switzerland,spar,luzern
32,"Chollerstrasse 1, 6300 Zug, Switzerland",migrolino Zug,4.3,101.0,47.1826324,8.4839163,Chollerstrasse 1, 6300 Zug, Switzerland,migro,zug
33,"Luzernstrasse 2, 5634 Merenschwand, Switzerland",Volg Merenschwand,4.5,145.0,47.2592359,8.3746537,Luzernstrasse 2, 5634 Merenschwand, Switzerland,volg,luzern
34,"Mitteldorf 20, 5637 Beinwil (Freiamt), Switzerland",Volg Beinwil (Freiamt),4.5,49.0,47.2301564,8.345783299999999,Mitteldorf 20, 5637 Beinwil (Freiamt), Switzerland,volg,dorf
35,"Seehofstrasse 14, 6330 Cham, Switzerland",Coop Supermarkt Cham Seehof,4.2,335.0,47.18148679999999,8.4616515,Seehofstrasse 14, 6330 Cham, Switzerland,coop,seehof
36,"Chamerstrasse 12, 6331 Hünenberg, Switzerland",Migros Supermarkt ab 24.11.22,0.0,0.0,47.1750893,8.427163199999999,Chamerstrasse 12, 6331 Hünenberg, Switzerland,migro,cham
37,"Eichengasse 1A, 6331 Hünenberg, Switzerland",Coop Supermarkt Hünenberg,4.0,131.0,47.1754437,8.426284899999999,Eichengasse 1A, 6331 Hünenberg, Switzerland,coop,eich
38,"Dorfpl. 3, 8913 Ottenbach, Switzerland",Volg Ottenbach,4.2,97.0,47.2811749,8.404418999999999,Dorfpl. 3, 8913 Ottenbach, Switzerland,volg,ottenbach
39,"Dorfstrasse 56, 6332 Cham, Switzerland",Volg Hagendorn mit Postagentur,4.4,67.0,47.2041808,8.4326087,Dorfstrasse 56, 6332 Cham, Switzerland,volg,dorf
40,"Maihölzli 5, 6331 Hünenberg, Switzerland",Migros-Supermarkt - Hünenberg Dorf,0.0,0.0,47.1750455,8.4273217,Maihölzli 5, 6331 Hünenberg, Switzerland,migro,hünenberg
41,"Alte Landstrasse 26, 8942 Oberrieden, Switzerland",Coop Supermarkt Oberrieden,4.3,156.0,47.2782658,8.5754782,Alte Landstrasse 26, 8942 Oberrieden, Switzerland,coop,oberrieden
42,"Alte Landstrasse 37, 8942 Oberrieden, Switzerland",migrolino Oberrieden,4.2,154.0,47.2767068,8.5775265,Alte Landstrasse 37, 8942 Oberrieden, Switzerland,migro,oberrieden
43,"Oberdorfstrasse 50, 8810 Horgen, Switzerland",migrolino Shop,4.1,86.0,47.2587963,8.589930299999999,Oberdorfstrasse 50, 8810 Horgen, Switzerland,migro,dorf
44,"Aarauerstrasse 2, 5642 Mühlau, Switzerland",Volg Mühlau,4.4,56.0,47.2297692,8.389492599999999,Aarauerstrasse 2, 5642 Mühlau, Switzerland,volg,aarau
45,"Bahnhofstrasse 2, 6312 Steinhausen, Switzerland",Migros Supermarkt,4.5,83.0,47.1970457,8.4849184,Bahnhofstrasse 2, 6312 Steinhausen, Switzerland,migro,steinhausen
46,"Sellenbüren 61, 8143 Stallikon, Switzerland",Coop Supermarkt Stallikon,4.0,147.0,47.342808,8.4829805,Sellenbüren 61, 8143 Stallikon, Switzerland,coop,stallikon
47,"Kirchgasse 2, 8907 Wettswil am Albis, Switzerland",Volg Wettswil,4.1,114.0,47.33757629999999,8.4748141,Kirchgasse 2, 8907 Wettswil am Albis, Switzerland,volg,wettswil am albis
48,"Albisstrasse 10, 8134 Adliswil, Switzerland",Migros Supermarkt,4.3,876.0,47.3111111,8.5252778,Albisstrasse 10, 8134 Adliswil, Switzerland,migro,adliswil
49,"Kalanderpl. 1, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Sihlcity Supermarkt,4.4,859.0,47.3576232,8.5231751,Kalanderpl. 1, 8045 Zürich, Switzerland,coop,zürich
50,"Uetlibergstrasse 20, 8045 Zürich, Switzerland",Coop Supermarkt Zürich Manessehof,4.0,248.0,47.36488989999999,8.5211127,Uetlibergstrasse 20, 8045 Zürich, Switzerland,coop,zürich
51,"Dietlimoosplatz 1, 8134 Adliswil, Switzerland",ALDI SUISSE,4.3,9.0,47.3221605,8.529346199999999,Dietlimoosplatz 1, 8134 Adliswil, Switzerland,aldi,adliswil
52,"Poststrasse 3, 8134 Adliswil, Switzerland",Coop Supermarkt Adliswil,4.1,394.0,47.3130391,8.525551799999999,Poststrasse 3, 8134 Adliswil, Switzerland,coop,adliswil
53,"Waldegg CH, Zürcherstrasse 1, 8142 Uitikon, Switzerland",Coop Supermarkt Uitikon Waldegg,4.4,126.0,47.36806499999999,8.4624693,Waldegg CH, Zürcherstrasse 1, 8142 Uitikon,coop,egg
54,"Albisriederstrasse 334, 8047 Zürich, Switzerland",Coop Supermarkt Zürich A-Park,4.0,403.0,47.3758681,8.487279899999999,Albisriederstrasse 334, 8047 Zürich, Switzerland,coop,zürich
55,"Zürcherstrasse 8, 8142 Uitikon, Switzerland",Migros Supermarkt,4.3,193.0,47.3684463,8.4628667,Zürcherstrasse 8, 8142 Uitikon, Switzerland,migro,uitikon
56,"Zürcherstrasse 13a, 8903 Birmensdorf, Switzerland",Coop Supermarkt Birmensdorf,4.2,278.0,47.3537676,8.4368392,Zürcherstrasse 13a, 8903 Birmensdorf, Switzerland,coop,dorf
57,"Zürcherstrasse 15, 8903 Birmensdorf, Switzerland",Migros Supermarkt,4.3,176.0,47.35429449999999,8.4367776,Zürcherstrasse 15, 8903 Birmensdorf, Switzerland,migro,dorf
58,"Birmensdorferstrasse 484, 8055 Zürich, Switzerland",migrolino Triemli,4.3,133.0,47.3685826,8.4966337,Birmensdorferstrasse 484, 8055 Zürich, Switzerland,migro,dorf
59,"In der Ey 85, 8047 Zürich, Switzerland",Coop Supermarkt Zürich Triemli,4.3,239.0,47.3705382,8.4921778,In der Ey 85, 8047 Zürich, Switzerland,coop,zürich
60,"Industriestrasse 1, 8903 Birmensdorf, Switzerland",migrolino Birmensdorf,3.1,21.0,47.3654348,8.429675399999999,Industriestrasse 1, 8903 Birmensdorf, Switzerland,migro,dorf
61,"Weinlandstrasse 4, 8451 Kleinandelfingen, Switzerland",Migros Supermarkt,4.3,406.0,47.601979,8.6888684,Weinlandstrasse 4, 8451 Kleinandelfingen, Switzerland,migro,andelfingen
62,"Schaffhauserstrasse 62, 8451 Kleinandelfingen, Switzerland",Coop Supermarkt Kleinandelfingen,4.5,473.0,47.6030463,8.6884763,Schaffhauserstrasse 62, 8451 Kleinandelfingen, Switzerland,coop,andelfingen
63,"Schaffhauserstrasse 24, 8451 Kleinandelfingen, Switzerland",Volg Kleinandelfingen,4.6,15.0,47.599414,8.6833107,Schaffhauserstrasse 24, 8451 Kleinandelfingen, Switzerland,volg,andelfingen
64,"Hinterdorfstrasse 2, 8444 Henggart, Switzerland",Volg Henggart,4.3,116.0,47.56418619999999,8.6830546,Hinterdorfstrasse 2, 8444 Henggart, Switzerland,volg,dorf
65,"Thurtalstrasse 3, 8450 Andelfingen, Switzerland",Volg Andelfingen,4.5,91.0,47.5949754,8.679372899999999,Thurtalstrasse 3, 8450 Andelfingen, Switzerland,volg,andelfingen
66,"Gewerbestrasse 9c, 8451 Kleinandelfingen, Switzerland",Denner Partner,4.1,136.0,47.6048375,8.6872495,Gewerbestrasse 9c, 8451 Kleinandelfingen, Switzerland,denner,andelfingen
67,"Mitteldorfstrasse 21, 8475 Ossingen, Switzerland",Volg Ossingen,4.4,64.0,47.6112894,8.7259704,Mitteldorfstrasse 21, 8475 Ossingen, Switzerland,volg,dorf
68,"Schulstrasse 1, 8442 Hettlingen, Switzerland",Volg Hettlingen,4.5,30.0,47.5467014,8.7079309,Schulstrasse 1, 8442 Hettlingen, Switzerland,volg,hettlingen
69,"Schaffhauserstrasse 152, 8400 Winterthur, Switzerland",ALDI SUISSE,4.5,6.0,47.51863,8.7199086,Schaffhauserstrasse 152, 8400 Winterthur, Switzerland,aldi,winterthur
70,"Hauptstrasse 12, 8543 Bertschikon, Switzerland",Volg-Laden Gundetswil,4.3,26.0,47.5397654,8.8225888,Hauptstrasse 12, 8543 Bertschikon, Switzerland,volg,
71,"Maiengasse 2, 8460 Marthalen, Switzerland",Volg-supermarkt Marthalen mit postagentur,4.2,50.0,47.62608609999999,8.649148799999999,Maiengasse 2, 8460 Marthalen, Switzerland,volg,marthalen
72,"Pumpwerkstrasse 56, 8105 Regensdorf, Switzerland",SPAR,4.2,266.0,47.445349,8.4640988,Pumpwerkstrasse 56, 8105 Regensdorf, Switzerland,spar,dorf
73,"Weiacherstrasse 1, 8422 Pfungen, Switzerland",Migros Supermarkt,4.3,419.0,47.51748449999999,8.650216,Weiacherstrasse 1, 8422 Pfungen, Switzerland,migro,weiach
74,"Dorfstrasse 2, 8471 Dägerlen, Switzerland",Volg Rutschwil,4.4,41.0,47.556715,8.730279000000001,Dorfstrasse 2, 8471 Dägerlen, Switzerland,volg,dorf
75,"Strehlgasse 27, 8472 Seuzach, Switzerland",Coop Supermarkt Seuzach,4.2,191.0,47.5369484,8.7340807,Strehlgasse 27, 8472 Seuzach, Switzerland,coop,seuzach
76,"Einkaufszentrum, Weiacherstrasse 1, 8422 Pfungen, Switzerland",Denner Discount,4.4,80.0,47.5174752,8.6503143,Einkaufszentrum, Weiacherstrasse 1, 8422 Pfungen,denner,weiach
77,"Landstrasse 7, 8463 Benken, Switzerland",Volg Benken,4.7,45.0,47.6528423,8.6535622,Landstrasse 7, 8463 Benken, Switzerland,volg,
78,"Marthalerstrasse, 8463 Benken, Switzerland",BenkenWeine - Benkener VOLG Traubenproduzenten,0.0,0.0,47.6506902,8.6524448,Marthalerstrasse, 8463 Benken, Switzerland,volg,arth
79,"Kirchgasse 5, 8248 Laufen-Uhwiesen, Switzerland",Volg Uhwiesen,4.4,76.0,47.6705639,8.634489,Kirchgasse 5, 8248 Laufen-Uhwiesen, Switzerland,volg,laufen-uhwiesen
80,"Zentrum, 8717 Benken, Switzerland",SPAR Supermarkt Benken,4.1,47.0,47.1985519,9.004499100000002,Zentrum, 8717 Benken, Switzerland,spar,
81,"Gründenstrasse 5, 8247 Flurlingen, Switzerland",SPAR Supermarkt Flurlingen,4.3,46.0,47.6844311,8.6275236,Gründenstrasse 5, 8247 Flurlingen, Switzerland,spar,flurlingen
82,"Kaiserstuhlstrasse 51, 8154 Oberglatt, Switzerland",migrolino Oberglatt,4.2,71.0,47.4764631,8.5051472,Kaiserstuhlstrasse 51, 8154 Oberglatt, Switzerland,migro,oberglatt
83,"Bachstrasse 5, 8184 Bachenbülach, Switzerland",Volg Bachenbülach,4.4,50.0,47.5036119,8.5478651,Bachstrasse 5, 8184 Bachenbülach, Switzerland,volg,bachenbülach
84,"Bahnhofstrasse 27, 8154 Oberglatt, Switzerland",Volg Oberglatt,4.1,78.0,47.4741619,8.5157962,Bahnhofstrasse 27, 8154 Oberglatt, Switzerland,volg,oberglatt
85,"Thurtalstrasse 26, 8479 Altikon, Switzerland",Volg Altikon,4.5,24.0,47.5732239,8.7816033,Thurtalstrasse 26, 8479 Altikon, Switzerland,volg,altikon
86,"Grafschaftstrasse 1, 8172 Niederglatt, Switzerland",Volg Niederglatt,4.4,30.0,47.4917268,8.5033949,Grafschaftstrasse 1, 8172 Niederglatt, Switzerland,volg,niederglatt
87,"Grüterstrasse 4, 8545 Rickenbach, Switzerland",Volg Rickenbach,4.6,16.0,47.5525713,8.7940793,Grüterstrasse 4, 8545 Rickenbach, Switzerland,volg,rüte
88,"Zollstrasse 54, 8212 Neuhausen am Rheinfall, Switzerland",Coop Supermarkt Neuhausen Schützengut,4.1,165.0,47.68005160000001,8.6065653,Zollstrasse 54, 8212 Neuhausen am Rheinfall, Switzerland,coop,neuhausen am rheinfall
89,"Dorfstrasse 6A, 8196 Wil, Switzerland",Volg Wil ZH,4.4,39.0,47.6055444,8.5074805,Dorfstrasse 6A, 8196 Wil, Switzerland,volg,dorf
90,"Dorfstrasse 24, 8465 Rudolfingen, Switzerland",Volg Rudolfingen,4.1,17.0,47.6403938,8.6730082,Dorfstrasse 24, 8465 Rudolfingen, Switzerland,volg,dorf
91,"Flughofstrasse 3, 8058 Kloten, Switzerland",Migros Supermarket Zurich Airport,4.5,1727.0,47.4493704,8.562636099999999,Flughofstrasse 3, 8058 Kloten, Switzerland,migro,kloten
92,"Hauptstrasse 55, 8414 Buch am Irchel, Switzerland",Volg,4.2,33.0,47.5496268,8.6186899,Hauptstrasse 55, 8414 Buch am Irchel, Switzerland,volg,buch am irchel
93,"Berglistrasse 24, 8180 Bülach, Switzerland",Volg Bülach,4.3,22.0,47.5229994,8.5468199,Berglistrasse 24, 8180 Bülach, Switzerland,volg,bülach
94,"Webergasse 4, 8416 Flaach, Switzerland",Volg Flaach,4.5,94.0,47.5765476,8.6081679,Webergasse 4, 8416 Flaach, Switzerland,volg,flaach
95,"Dorfstrasse 35, 8454 Buchberg, Switzerland",Volg,4.5,23.0,47.5726039,8.5623665,Dorfstrasse 35, 8454 Buchberg, Switzerland,volg,dorf
96,"Dorfstrasse 8, 8427 Freienstein-Teufen, Switzerland",Volg,4.4,90.0,47.5303383,8.5825891,Dorfstrasse 8, 8427 Freienstein-Teufen, Switzerland,volg,dorf
97,"Schaffhauserstrasse 110, 8180 Bülach, Switzerland",Coop Supermarkt Bülach im Guss,4.3,185.0,47.5266542,8.5361403,Schaffhauserstrasse 110, 8180 Bülach, Switzerland,coop,bülach
98,"Weiacherstrasse 64, 8427 Rorbas, Switzerland",Volg,4.4,92.0,47.531805,8.5738572,Weiacherstrasse 64, 8427 Rorbas, Switzerland,volg,rorbas
99,"Winterthurstrasse 17, 8413 Neftenbach, Switzerland",Coop Supermarkt Neftenbach,4.4,191.0,47.526162,8.668973,Winterthurstrasse 17, 8413 Neftenbach, Switzerland,coop,neftenbach
100,"Flaachtalstrasse 17, 8459 Volken, Switzerland",Volg Volken,4.3,31.0,47.5739607,8.6245823,Flaachtalstrasse 17, 8459 Volken, Switzerland,volg,flaach
101,"Bahnhofstrasse 28, 8180 Bülach, Switzerland",Migros Supermarkt,4.1,613.0,47.5211111,8.54,Bahnhofstrasse 28, 8180 Bülach, Switzerland,migro,bülach
102,"Bülacherstrasse 17, 8424 Embrach, Switzerland",Migros Supermarkt,4.3,404.0,47.5101625,8.5915443,Bülacherstrasse 17, 8424 Embrach, Switzerland,migro,bülach
103,"Dorfstrasse 138, 8424 Embrach, Switzerland",Coop Supermarkt Embrach,4.2,366.0,47.5109947,8.594256699999999,Dorfstrasse 138, 8424 Embrach, Switzerland,coop,dorf
104,"Mitteldorfweg 2, 8413 Neftenbach, Switzerland",Volg,4.3,69.0,47.527896,8.667972599999999,Mitteldorfweg 2, 8413 Neftenbach, Switzerland,volg,dorf
105,"Tössallmend 2a, 8413 Neftenbach, Switzerland",Lidl,0.0,0.0,47.51926,8.65762,Tössallmend 2a, 8413 Neftenbach, Switzerland,lidl,neftenbach
106,"Kasernenstrasse 77, 8180 Bülach, Switzerland",Volg Bülach Storchenwiese,4.0,41.0,47.51507580000001,8.530416599999999,Kasernenstrasse 77, 8180 Bülach, Switzerland,volg,bülach
107,"Zürcherstrasse 35, 8426 Lufingen, Switzerland",Volg Lufingen with postal agency,4.5,102.0,47.48897150000001,8.5942809,Zürcherstrasse 35, 8426 Lufingen, Switzerland,volg,lufingen
108,"Dorfstrasse 17, 8447 Dachsen, Switzerland",Volg,4.3,50.0,47.6652054,8.617393,Dorfstrasse 17, 8447 Dachsen, Switzerland,volg,dachsen
109,"Schützenstrasse 40, 8245 Feuerthalen, Switzerland",Coop Feuerthalen,4.7,20.0,47.6905503,8.648743699999999,Schützenstrasse 40, 8245 Feuerthalen, Switzerland,coop,feuerthalen
110,"Bahnhofstrasse 56/58, 8200 Schaffhausen, Switzerland",Migros Supermarkt,4.3,524.0,47.6987877,8.6340494,Bahnhofstrasse 56/58, 8200 Schaffhausen, Switzerland,migro,schaffhausen
111,"Poststrasse 30, 8462 Rheinau, Switzerland",Volg Rheinau,4.2,61.0,47.64317639999999,8.600774399999999,Poststrasse 30, 8462 Rheinau, Switzerland,volg,rheinau
112,"Hauptstrasse 42, 1714 Heitenried, Switzerland",Volg,4.7,53.0,46.8258896,7.3007784,Hauptstrasse 42, 1714 Heitenried, Switzerland,volg,heitenried
113,"Schützenstrasse 30, 8245 Feuerthalen, Switzerland",Coop Supermarkt Feuerthalen Rhymarkt,4.5,949.0,47.6906462,8.646801199999999,Schützenstrasse 30, 8245 Feuerthalen, Switzerland,coop,feuerthalen
114,"Fronwagpl. 1, 8201 Schaffhausen, Switzerland",Coop Supermarkt Schaffhausen Fronwagplatz,4.1,256.0,47.69634749999999,8.633765,Fronwagpl. 1, 8201 Schaffhausen, Switzerland,coop,schaffhausen
115,"Hauptstrasse 29, 8246 Feuerthalen, Switzerland",Coop Pronto Shop mit Tankstelle Langwiesen,4.4,176.0,47.6842878,8.6602858,Hauptstrasse 29, 8246 Feuerthalen, Switzerland,coop,feuerthalen
116,"Freier Pl. 2, 8200 Schaffhausen, Switzerland",SPAR Supermarkt Schaffhausen,4.2,141.0,47.695515,8.640286,Freier Pl. 2, 8200 Schaffhausen, Switzerland,spar,schaffhausen
117,"Bahnhofstrasse 29, 8200 Schaffhausen, Switzerland",Coop Pronto Shop Schaffhausen Bahnhof,4.3,111.0,47.69814150000001,8.632686,Bahnhofstrasse 29, 8200 Schaffhausen, Switzerland,coop,schaffhausen
118,"Schwertstrasse 4, 8200 Schaffhausen, Switzerland",migrolino fresh Schaffhausen,4.5,52.0,47.6973126,8.6329139,Schwertstrasse 4, 8200 Schaffhausen, Switzerland,migro,schaffhausen
119,"Dürstlingweg 2, 8203 Schaffhausen, Switzerland",Migros Supermarkt,4.4,203.0,47.6991032,8.654574799999999,Dürstlingweg 2, 8203 Schaffhausen, Switzerland,migro,schaffhausen
120,"In Gruben 1, 8200 Schaffhausen, Switzerland",Coop Supermarkt Schaffhausen Gruben,4.2,289.0,47.7027412,8.6459231,In Gruben 1, 8200 Schaffhausen, Switzerland,coop,schaffhausen
121,"Mühlenstrasse 96, 8200 Schaffhausen, Switzerland",migrolino Schaffhausen Rheinfall,4.4,36.0,47.6927748,8.6233807,Mühlenstrasse 96, 8200 Schaffhausen, Switzerland,migro,schaffhausen
122,"Rietstrasse 169, 8200 Schaffhausen, Switzerland",Coop Supermarkt Schaffhausen Riet,4.1,147.0,47.703973,8.6155466,Rietstrasse 169, 8200 Schaffhausen, Switzerland,coop,schaffhausen
123,"Alpenstrasse 134 Buchthalen, 8200 Schaffhausen, Switzerland",Denner Discount,4.3,124.0,47.698722,8.65512,Alpenstrasse 134 Buchthalen, 8200 Schaffhausen, Switzerland,denner,schaffhausen
124,"Poststrasse 9, 8212 Neuhausen am Rheinfall, Switzerland",Coop Supermarkt Neuhausen Posthof,4.3,336.0,47.6826987,8.6198144,Poststrasse 9, 8212 Neuhausen am Rheinfall, Switzerland,coop,neuhausen am rheinfall
125,"Grubenstrasse 80, 8200 Schaffhausen, Switzerland",migrolino Schaffhausen Grubenstrasse,4.1,29.0,47.7030853,8.6454819,Grubenstrasse 80, 8200 Schaffhausen, Switzerland,migro,schaffhausen
126,"Schaffhauserstrasse 38, 8212 Neuhausen am Rheinfall, Switzerland",migrolino Neuhausen Rheinfall,4.3,59.0,47.68611569999999,8.6214897,Schaffhauserstrasse 38, 8212 Neuhausen am Rheinfall, Switzerland,migro,neuhausen am rheinfall
127,"Dorfstrasse 1, 8197 Rafz, Switzerland",Volg Rafz,4.4,146.0,47.6123315,8.5368551,Dorfstrasse 1, 8197 Rafz, Switzerland,volg,dorf
128,"Industriestrasse 4, 8424 Embrach, Switzerland",ALDI SUISSE,4.1,582.0,47.5164998,8.594326299999999,Industriestrasse 4, 8424 Embrach, Switzerland,aldi,embrach
129,"Schaffhauserstrasse 39, 8193 Eglisau, Switzerland",migrolino Eglisau,4.3,122.0,47.5807555,8.516040499999999,Schaffhauserstrasse 39, 8193 Eglisau, Switzerland,migro,eglisau
130,"Wehntalerstrasse 46, 8181 Höri, Switzerland",Volg Höri,4.1,84.0,47.5084822,8.5100838,Wehntalerstrasse 46, 8181 Höri, Switzerland,volg,höri
131,"Hochstrasse 122, 8200 Schaffhausen, Switzerland",SPAR express Schaffhausen-Hochstr.,4.2,57.0,47.7073017,8.6376663,Hochstrasse 122, 8200 Schaffhausen, Switzerland,spar,schaffhausen
132,"Vordergasse 69, 8200 Schaffhausen, Switzerland",Coop City Schaffhausen,4.2,282.0,47.6962488,8.634637,Vordergasse 69, 8200 Schaffhausen, Switzerland,coop,schaffhausen
133,"Vorstadt 46, 8200 Schaffhausen, Switzerland",Denner Express,4.1,140.0,47.69889939999999,8.6349167,Vorstadt 46, 8200 Schaffhausen, Switzerland,denner,schaffhausen
134,"Poststrasse 18, 8212 Neuhausen am Rheinfall, Switzerland",Denner Discount,4.1,215.0,47.683002,8.619211,Poststrasse 18, 8212 Neuhausen am Rheinfall, Switzerland,denner,neuhausen am rheinfall
135,"Breitestrasse 35, 8472 Seuzach, Switzerland",Volg Seuzach,4.4,74.0,47.534909,8.734342999999999,Breitestrasse 35, 8472 Seuzach, Switzerland,volg,seuzach
